temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,azimuth,power_output
283.32,62,1024.3,0,0,412.07,34.314784,68.278362,210.74723,2268.1099
284.03,58,1023.6,0,0,355.11,47.393687,75.101325,223.54443,1249.0877
284.18,59,1022.8,0,0,284.8,60.952041,83.537027,234.69882,143.9723
284.03,60,1022.6,0,0,225.17,106.69672,120.23022,215.21543,16.101307
273.94,93,1020.6,0,0,0,59.83574,82.723909,126.07362,491.01385
275.76,91,1019.1,0,0,3.56,46.187931,74.317509,137.42462,589.7025
278.99,77,1018.4,0,0,121.04,33.139627,67.636531,150.40752,1522.622
280.23,71,1017.3,0,0,268.78,22.061843,63.323701,165.0127,690.96898
281.66,64,1015.3,0,0,386.26,17.288684,61.898913,180.65482,291.16097
282.11,55,1015.2,0,0,389.82,22.816323,63.56121,196.25188,177.40503
282.32,53,1013.9,0,0,395.16,34.161975,68.07974,210.74617,156.05012
280.15,69,1013.6,0,0,186.9,47.29302,74.918788,223.6008,123.7152
280.16,74,1013.3,0,0,107.69,60.736301,83.273945,234.67098,17.422826
270.99,94,1016.2,0,0,0,60.008276,82.715518,125.80142,162.85673
269.74,97,1016.9,0,0,3.56,46.218879,74.207441,137.24737,1416.8051
272.58,75,1017.2,0,0,118.37,33.129206,67.498954,150.24586,1549.9781
274.69,62,1016.2,0,0,271.45,21.879876,63.12744,165.03328,1717.2196
275.92,57,1015.7,0,0,392.49,17.105247,61.711725,180.56453,1463.1401
275.01,69,1016.5,0,0,299.93,22.626764,63.360918,196.2109,774.13052
275.87,63,1016,0,0,469.92,34.00882,67.875998,210.75038,202.27496
275.77,68,1016.3,0,0,379.14,47.168844,74.718691,223.64017,332.33587
275.65,73,1017.1,0,0,386.26,60.750413,83.160134,234.8219,177.91597
267.8,82,1028.9,0,0,0,59.962798,82.557387,125.6905,553.33489
268.23,84,1028.8,0,0,3.56,46.24653,74.090688,137.06821,1457.4705
271.47,75,1028.2,0,0,119.26,33.114848,67.354523,150.08337,2219.2605
274.45,61,1026.6,0,0,272.34,21.884109,62.98702,164.74744,2595.2027
275.49,59,1025.8,0,0,398.72,16.915904,61.518011,180.47672,2724.477
277.65,31,1024.7,0,0,478.82,22.434327,63.15475,196.17407,2668.6514
278.36,27,1023.4,0,0,504.63,33.855504,67.667245,210.75993,2415.1739
278.75,26,1022.8,0,0,477.93,47.045819,74.514472,223.68551,1160.2291
278.73,27,1022.2,0,0,394.27,60.652214,82.966378,234.89287,127.90982
272.22,89,1014.9,0.2,0,0,59.77182,82.296286,125.68362,7.6198024
272.51,88,1014.1,0.2,0,2.67,46.270887,73.967285,136.88722,164.66754
273.49,84,1014.5,0.2,0,68.53,33.127877,67.218269,149.88763,315.74279
274.17,80,1013.8,0.1,0,187.79,21.787798,62.808486,164.61589,316.44196
274.77,77,1012.5,0.1,0,295.48,16.729554,61.320051,180.38464,870.24529
274.37,77,1012.7,0,0,205.59,22.239193,62.942805,196.14147,902.17283
274.97,76,1012.5,0,0,382.7,33.702217,67.453595,210.77488,357.74893
275.65,76,1012,0,0,373.8,46.924101,74.30625,223.73688,125.95566
274.98,81,1010.4,0,0,201.14,60.555932,82.76925,234.97013,25.226724
269.56,94,1015.8,0,0,4.45,44.277769,72.675565,138.49077,0.060569106
270.07,94,1017.7,0,0.07,121.04,33.074579,67.045387,149.75625,19.060523
270.97,92,1017,0,0.07,225.17,21.686838,62.62334,164.48521,155.21215
271.95,79,1016.2,0,0,308.83,16.52021,61.111442,180.3088,1137.9982
273.2,68,1016.3,0,0,472.59,22.041724,62.72528,196.11313,2176.6919
273.96,64,1015.9,0,0,496.62,33.549205,67.235237,210.79523,2204.0698
274.44,62,1016,0,0,467.25,46.803868,74.094203,223.79425,1544.6314
274.66,64,1015.3,0,0,374.69,60.461693,82.568901,235.05367,226.21317
271.2,91,1013.5,0,0,0,60.213583,82.312955,125.03395,480.20512
271.91,79,1012.5,0,0,2.67,46.309746,73.700679,136.52016,568.66697
270.96,86,1013.8,0,0.07,48.06,33.048672,66.880642,149.5917,639.75016
